no_of_clusters,silhoutte_score
2,0.8995423522669871
3,0.8641717779490232
4,0.8663913810396195
5,0.8395250872478718
6,0.7935710591507776
7,0.7689615871879215
8,0.7750787093272359
9,0.7853219081201303
