iter	Passed	Remaining
421	2139	2930
422	2144	2924
423	2149	2919
424	2153	2913
425	2158	2908
426	2163	2902
427	2167	2897
428	2172	2891
429	2177	2886
430	2181	2880
431	2186	2874
432	2191	2869
433	2195	2863
434	2200	2858
435	2205	2852
436	2210	2847
437	2214	2841
438	2219	2836
439	2223	2830
440	2231	2828
441	2236	2823
442	2241	2818
443	2246	2813
444	2251	2807
445	2256	2802
446	2260	2797
447	2265	2791
448	2270	2786
449	2275	2781
450	2280	2775
451	2285	2770
452	2289	2765
453	2294	2759
454	2299	2754
455	2304	2748
456	2308	2743
457	2313	2738
458	2318	2732
459	2323	2727
460	2327	2721
461	2332	2716
462	2337	2711
463	2342	2705
464	2346	2700
465	2351	2694
466	2356	2689
467	2361	2683
468	2365	2678
469	2370	2673
470	2375	2667
471	2380	2662
472	2384	2657
473	2389	2651
474	2394	2646
475	2398	2640
476	2403	2635
477	2408	2629
478	2412	2624
479	2417	2619
480	2422	2613
481	2427	2608
482	2432	2603
483	2437	2598
484	2442	2593
485	2446	2587
486	2451	2582
487	2456	2576
488	2460	2571
489	2465	2566
490	2470	2560
491	2475	2555
492	2479	2550
493	2484	2544
494	2489	2539
495	2493	2534
496	2497	2528
497	2501	2522
498	2506	2516
499	2511	2511
500	2516	2506
501	2520	2500
502	2524	2494
503	2528	2487
504	2532	2481
505	2536	2476
506	2541	2471
507	2546	2466
508	2550	2459
509	2554	2453
510	2559	2449
511	2564	2443
512	2567	2437
513	2571	2431
514	2576	2426
515	2581	2421
516	2586	2416
517	2590	2410
518	2594	2404
519	2598	2398
520	2603	2394
521	2608	2388
522	2612	2382
523	2617	2377
524	2622	2372
525	2627	2367
526	2632	2362
527	2637	2357
528	2641	2351
529	2646	2346
530	2650	2341
531	2655	2336
532	2660	2330
533	2664	2325
534	2669	2320
535	2674	2315
536	2679	2309
537	2682	2303
538	2687	2298
539	2691	2293
540	2695	2287
541	2699	2281
542	2704	2275
543	2707	2269
544	2711	2263
545	2716	2258
546	2720	2252
547	2724	2246
548	2728	2241
549	2731	2235
550	2735	2229
551	2739	2223
552	2743	2217
553	2748	2212
554	2752	2206
555	2756	2201
556	2760	2195
557	2764	2189
558	2768	2184
559	2772	2178
560	2776	2172
561	2781	2167
562	2785	2162
563	2795	2160
564	2801	2156
565	2805	2150
566	2809	2145
567	2813	2139
568	2816	2133
569	2820	2127
570	2824	2122
571	2828	2116
572	2832	2110
573	2836	2105
574	2840	2099
575	2844	2093
576	2848	2087
577	2851	2082
578	2855	2076
579	2859	2070
580	2866	2067
581	2874	2064
582	2879	2059
583	2883	2054
584	2887	2048
585	2892	2043
586	2897	2038
587	2902	2033
588	2907	2028
589	2911	2023
590	2916	2018
591	2921	2013
592	2926	2008
593	2931	2003
594	2936	1998
595	2941	1993
596	2946	1988
597	2950	1983
598	2955	1978
599	2960	1973
600	2964	1967
601	2968	1962
602	2973	1957
603	2978	1952
604	2983	1947
605	2987	1942
606	2992	1937
607	2997	1932
608	3002	1927
609	3006	1922
610	3011	1917
611	3016	1912
612	3021	1907
613	3026	1902
614	3030	1897
615	3034	1891
616	3038	1886
617	3043	1881
618	3048	1876
619	3053	1871
620	3057	1866
621	3062	1861
622	3068	1856
623	3073	1851
624	3078	1847
625	3083	1842
626	3088	1837
627	3093	1832
628	3097	1827
629	3102	1822
630	3106	1816
631	3111	1811
632	3116	1806
633	3121	1801
634	3126	1796
635	3130	1791
636	3134	1786
637	3139	1781
638	3144	1776
639	3148	1771
640	3153	1766
641	3158	1761
642	3162	1756
643	3167	1751
644	3172	1746
645	3176	1740
646	3180	1735
647	3186	1731
648	3191	1726
649	3196	1720
650	3200	1715
651	3205	1710
652	3210	1705
653	3215	1701
654	3219	1696
655	3224	1690
656	3229	1686
657	3234	1681
658	3239	1676
659	3243	1671
660	3248	1666
661	3253	1661
662	3256	1655
663	3260	1650
664	3264	1644
665	3268	1639
666	3273	1634
667	3278	1629
668	3283	1624
669	3287	1619
670	3292	1614
671	3297	1609
672	3302	1604
673	3307	1599
674	3311	1594
675	3316	1589
676	3321	1584
677	3325	1579
678	3330	1574
679	3335	1569
680	3340	1564
681	3344	1559
682	3349	1554
683	3354	1549
684	3358	1544
685	3365	1540
686	3370	1535
687	3375	1530
688	3378	1525
689	3382	1519
690	3386	1514
691	3391	1509
692	3396	1504
693	3401	1499
694	3405	1494
695	3409	1489
696	3413	1483
697	3417	1478
698	3421	1473
699	3426	1468
700	3430	1463
701	3434	1457
702	3438	1452
703	3442	1447
704	3446	1441
705	3449	1436
706	3454	1431
707	3459	1426
708	3467	1423
709	3471	1417
710	3475	1412
711	3479	1407
712	3483	1402
713	3488	1397
714	3493	1392
715	3497	1387
716	3501	1382
717	3506	1377
718	3510	1371
719	3513	1366
720	3518	1361
721	3522	1356
722	3526	1350
723	3530	1345
724	3534	1340
725	3539	1335
726	3548	1332
727	3556	1328
728	3564	1324
729	3567	1319
730	3571	1314
731	3575	1309
732	3579	1303
733	3583	1298
734	3587	1293
735	3590	1287
736	3594	1282
737	3598	1277
738	3602	1272
739	3606	1267
740	3610	1261
741	3614	1256
742	3618	1251
743	3622	1246
744	3626	1241
745	3630	1236
746	3634	1230
747	3638	1225
748	3642	1220
749	3646	1215
750	3650	1210
751	3654	1205
752	3657	1199
753	3661	1194
754	3665	1189
755	3669	1184
756	3673	1179
757	3677	1173
758	3680	1168
759	3685	1163
760	3688	1158
761	3693	1153
762	3697	1148
763	3701	1143
764	3705	1138
765	3710	1133
766	3717	1129
767	3724	1125
768	3729	1120
769	3732	1115
770	3737	1109
771	3741	1104
772	3745	1099
773	3749	1094
774	3753	1089
775	3757	1084
776	3760	1079
777	3764	1074
778	3768	1069
779	3773	1064
780	3777	1059
781	3782	1054
782	3786	1049
783	3790	1044
784	3794	1039
785	3797	1034
786	3802	1029
787	3806	1023
788	3809	1018
789	3813	1013
790	3817	1008
791	3821	1003
792	3825	998
793	3829	993
794	3833	988
795	3837	983
796	3841	978
797	3845	973
798	3849	968
799	3853	963
800	3858	958
801	3863	953
802	3867	948
803	3871	943
804	3875	938
805	3879	933
806	3884	928
807	3888	923
808	3892	918
809	3895	913
810	3900	908
811	3904	903
812	3908	898
813	3911	893
814	3915	888
815	3919	883
816	3923	878
817	3927	873
818	3931	868
819	3935	863
820	3939	858
821	3943	854
822	3947	849
823	3951	844
824	3955	839
825	3959	834
826	3963	829
827	3968	824
828	3972	819
829	3976	814
830	3980	809
831	3984	804
832	3988	799
833	3992	794
834	3996	789
