iter	Logloss
0	0.4829013051
1	0.3373918416
2	0.2274815431
3	0.1610144842
4	0.1221841055
5	0.08555649819
6	0.05984931505
7	0.04744651631
8	0.03878481347
9	0.0313045636
10	0.02673150623
11	0.02396647959
12	0.02144585316
13	0.01980828006
14	0.0182673188
15	0.01672958586
16	0.015562553
17	0.01499815036
18	0.01439980554
19	0.0136973383
20	0.01348322307
21	0.01305570891
22	0.0128601887
23	0.01256064027
24	0.01208618123
25	0.01169103099
26	0.01141853897
27	0.01120367684
28	0.01107499452
29	0.01089729611
30	0.01067387115
31	0.0105036429
32	0.01018568641
33	0.009989924148
34	0.009880299705
35	0.009761909821
36	0.0096930114
37	0.009594716526
38	0.009477156055
39	0.009137356816
40	0.009026869902
41	0.008881759105
42	0.008790268827
43	0.008689936962
44	0.008609708203
45	0.008303875755
46	0.008163619152
47	0.008011293989
48	0.007947462297
49	0.007823198796
50	0.00767956831
51	0.007520082
52	0.007289798339
53	0.007158482501
54	0.006993742763
55	0.006875462448
56	0.00680748554
57	0.006690332955
58	0.006615902443
59	0.00644289471
60	0.006345090498
61	0.006212741814
62	0.006138086742
63	0.006016847534
64	0.005889211516
65	0.005794153395
66	0.005710056192
67	0.005597742029
68	0.005559608337
69	0.005421640857
70	0.005339825965
71	0.005255173029
72	0.005174608033
73	0.005126417429
74	0.005061676967
75	0.00499172134
76	0.004858449834
77	0.004806381528
78	0.004749827854
79	0.004614723307
80	0.00452992118
81	0.004426959858
82	0.00437345098
83	0.004261208868
84	0.004230373165
85	0.004181671845
86	0.004090482735
87	0.004019030144
88	0.003971496763
89	0.003910635286
90	0.003786990273
91	0.003682501845
92	0.003670530781
93	0.003613903901
94	0.003571746287
95	0.003539043624
96	0.003472515127
97	0.003450866547
98	0.003388213594
99	0.003322223031
100	0.00328716943
101	0.003219349989
102	0.003140009601
103	0.003105955744
104	0.003008899256
105	0.002965444854
106	0.002940085653
107	0.002887625685
108	0.002869769757
109	0.002820430192
110	0.002739407348
111	0.002699937095
112	0.002686778773
113	0.002665384476
114	0.002644617594
115	0.002608186233
116	0.00259131602
117	0.002577390953
118	0.002563120331
119	0.002536611957
120	0.002510573283
121	0.002472826736
122	0.00245766179
123	0.002404758328
124	0.002355087698
125	0.002303884595
126	0.002242505844
127	0.002191019729
128	0.002185433462
129	0.002178329143
130	0.002150881586
131	0.002113171445
132	0.002089224543
133	0.002068947335
134	0.00202176923
135	0.001969721042
136	0.001938811382
137	0.001918210202
138	0.001901676466
139	0.001863585994
140	0.001855298684
141	0.001825419658
142	0.001786297468
143	0.001765239397
144	0.001756457576
145	0.001730797601
146	0.001702341675
147	0.001696855009
148	0.001681797496
149	0.001674321682
150	0.001661511773
151	0.001642329511
152	0.001635693719
153	0.001588911217
154	0.001577668095
